                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.78782,                0.49906,                  1.034,                0.72031,                0.68631,                0.69587,                0.39956,                 1.5284,                 1.1419,                 1.6746,             0.00041275,             0.00041275,             0.00041275
                     78,                0.77579,                0.51744,                 1.0269,                 0.7372,                0.67321,                0.71424,                0.41722,                 1.5051,                 1.1543,                 1.6515,             0.00039625,             0.00039625,             0.00039625
                     79,                0.77372,                0.51519,                 1.0276,                0.72271,                0.67913,                0.70986,                0.41193,                 1.4868,                   1.11,                 1.6456,             0.00037974,             0.00037974,             0.00037974
                     80,                0.76235,                0.48951,                 1.0093,                0.71583,                0.65291,                0.67682,                0.40284,                 1.5165,                 1.1874,                  1.684,             0.00036324,             0.00036324,             0.00036324
                     81,                0.70926,                0.46603,                0.99878,                0.73034,                0.63271,                0.68146,                0.40031,                 1.5203,                 1.1266,                  1.728,             0.00034674,             0.00034674,             0.00034674
                     82,                0.74277,                0.47471,                 1.0067,                 0.6533,                 0.7171,                  0.689,                0.40505,                 1.5211,                  1.116,                 1.7063,             0.00033023,             0.00033023,             0.00033023
                     83,                0.73941,                0.50025,                 1.0077,                0.63734,                 0.7205,                0.68399,                0.39564,                 1.4926,                 1.1128,                 1.6678,             0.00031373,             0.00031373,             0.00031373
                     84,                0.72024,                0.46632,                0.99728,                0.74003,                0.64872,                0.68522,                0.38477,                 1.4958,                 1.1362,                 1.6821,             0.00029723,             0.00029723,             0.00029723
                     85,                0.71993,                0.46534,                 1.0038,                0.72593,                0.67318,                0.70157,                0.39712,                 1.5056,                 1.1684,                 1.6947,             0.00028072,             0.00028072,             0.00028072
                     86,                0.70633,                0.44845,                0.99766,                0.74569,                0.66179,                0.71669,                0.42402,                 1.4507,                 1.1258,                 1.6275,             0.00026422,             0.00026422,             0.00026422
                     87,                0.70269,                0.46948,                 1.0041,                0.71489,                0.67025,                0.70006,                 0.4027,                 1.4992,                 1.0985,                 1.6892,             0.00024772,             0.00024772,             0.00024772
                     88,                0.69396,                 0.4601,                0.99856,                0.69485,                0.68654,                0.68114,                0.39298,                 1.4949,                 1.1158,                 1.6835,             0.00023121,             0.00023121,             0.00023121
                     89,                0.67073,                0.43303,                0.98637,                0.68494,                0.68416,                0.68727,                0.40101,                 1.5139,                 1.1424,                 1.6802,             0.00021471,             0.00021471,             0.00021471
                     90,                0.69803,                 0.4505,                 1.0014,                  0.792,                0.63179,                0.71123,                0.42286,                  1.486,                  1.094,                 1.6803,             0.00019821,             0.00019821,             0.00019821
                     91,                0.66866,                0.39314,                0.98938,                0.76992,                0.63433,                0.71324,                0.41888,                 1.4963,                 1.1222,                 1.6886,              0.0001817,              0.0001817,              0.0001817
                     92,                0.67037,                0.41096,                0.99235,                0.70668,                0.69174,                0.71242,                0.41794,                 1.5085,                 1.1241,                 1.7133,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.6192,                0.37811,                0.97481,                0.78155,                0.66301,                0.70499,                0.41524,                 1.4973,                 1.1074,                 1.6931,              0.0001487,              0.0001487,              0.0001487
                     94,                0.61672,                0.35607,                0.94597,                0.77653,                0.65886,                0.71306,                0.41488,                 1.5024,                 1.1211,                 1.7156,             0.00013219,             0.00013219,             0.00013219
                     95,                0.60314,                0.36887,                0.96219,                0.77202,                0.63684,                0.70459,                0.40813,                 1.5217,                 1.1776,                 1.7241,             0.00011569,             0.00011569,             0.00011569
                     96,                0.59595,                0.35711,                0.95113,                0.72565,                0.67658,                0.69611,                0.40653,                 1.5128,                 1.1761,                 1.7341,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.5997,                0.36187,                0.96569,                 0.7786,                0.62463,                0.69829,                0.39981,                  1.513,                  1.161,                 1.7355,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.59449,                0.35299,                 0.9562,                0.74754,                0.67362,                0.70503,                0.40905,                 1.5089,                 1.1312,                 1.7432,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.58763,                0.36354,                0.95801,                0.74615,                 0.6695,                0.70296,                0.40838,                 1.5162,                 1.1267,                 1.7491,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.57398,                0.34898,                0.93834,                0.76054,                0.67192,                0.70459,                0.41456,                 1.5111,                  1.121,                 1.7412,             3.3173e-05,             3.3173e-05,             3.3173e-05
